Topic,Count,Name,Representation,Representative_Docs
226,39,226_ductus_arteriosus_patent_pda,"['ductus', 'arteriosus', 'patent', 'pda', 'closure', 'premature', 'ibuprofen', 'infants', 'duct', 'preterm']","['Patent Ductus Arteriosus Ibuprofen and Renal Function in Premature Infants; Conditions: Premature Infants, Patent Ductus Arteriosus Patent Ductus Arteriosus clinical research Patent Ductus Arteriosus Research', 'Patent Ductus Arteriosus High-dose Ibuprofen for Patent Ductus Arteriosus (PDA) in Preterm Infant; Conditions: Ductus Arteriosus, Patent Patent Ductus Arteriosus clinical research Patent Ductus Arteriosus Research', 'Patent Ductus Arteriosus Treating the Resistant Patent Ductus Arteriosus (PDA); Conditions: Patent Ductus Arteriosus Patent Ductus Arteriosus clinical research Patent Ductus Arteriosus Research']"
227,39,227_camurati_engelmann_tgf_avotermin,"['camurati', 'engelmann', 'tgf', 'avotermin', 'juvista', 'cicatrix', 'beta', 'healing', 'myelofibrosis', '03446962']","['Camurati-Engelmann Disease TGF-(Beta) and Susceptibility to RSV; Conditions: Asthma Camurati-Engelmann Disease clinical research Camurati-Engelmann Disease Research', 'Camurati-Engelmann Disease Platelet Activation Markers in Pediatric Cardiac Surgery; Conditions: Coronary Disease Camurati-Engelmann Disease clinical research Camurati-Engelmann Disease Research', 'Camurati-Engelmann Disease Radiation Therapy in Treating Women With Invasive Breast Cancer; Conditions: Breast Cancer Camurati-Engelmann Disease clinical research Camurati-Engelmann Disease Research']"
228,39,228_mitral_prolapse_valve_regurgitation,"['mitral', 'prolapse', 'valve', 'regurgitation', 'murmurs', 'insufficiency', 'arrhythmias', 'neochord', 'disjunction', 'systolic']","['Mitral Valve Prolapse Syndrome Mitral Valve Prolapse, Arrhythmias and Mitral Valve Surgery; Conditions: Mitral Valve Prolapse, Cardiac Arrhythmia Mitral Valve Prolapse Syndrome clinical research Mitral Valve Prolapse Syndrome Research', 'Mitral Valve Prolapse Syndrome Mitral Valve Prolapse, Arrhythmias and Mitral Valve Surgery; Conditions: Mitral Valve Prolapse, Cardiac Arrhythmia Mitral Valve Prolapse Syndrome clinical research Mitral Valve Prolapse Syndrome Research', 'Mitral Valve Prolapse Syndrome Mitral Valve Prolapse, Arrhythmias and Mitral Valve Surgery; Conditions: Mitral Valve Prolapse, Cardiac Arrhythmia Mitral Valve Prolapse Syndrome clinical research Mitral Valve Prolapse Syndrome Research']"
229,39,229_hypertension_pulmonary_arterial_primary,"['hypertension', 'pulmonary', 'arterial', 'primary', 'pah', 'nice', 'nims', 'air001', 'apabetalone', 'l608']","['Pulmonary Hypertension, Primary, 4 REPAIR: Right vEntricular Remodeling in Pulmonary ArterIal hypeRtension; Conditions: Pulmonary Arterial Hypertension Pulmonary Hypertension, Primary, 4 clinical research Pulmonary Hypertension, Primary, 4 Research', 'Pulmonary Hypertension, Primary, 2 Fluoxetine in Pulmonary Arterial Hypertension (PAH) Trial; Conditions: Pulmonary Arterial Hypertension Pulmonary Hypertension, Primary, 2 clinical research Pulmonary Hypertension, Primary, 2 Research', 'Pulmonary Hypertension, Primary, 1 PulmonAry hyperteNsion DiagnOsis: a National cohoRt reseArch; Conditions: Pulmonary Arterial Hypertension (PAH), Pulmonary Arterial Hypertension (PAH) (WHO Group 1 PH), Pulmonary Arterial Hypertension Pulmonary Hypertension, Primary, 1 clinical research Pulmonary Hypertension, Primary, 1 Research']"
230,39,230_zika_virus_infectious_zip,"['zika', 'virus', 'infectious', 'zip', 'microcephaly', 'pregnancy', 'infants', 'zikv', 'born', 'child']","['Zika Virus Infectious Disease Zika in Infants and Pregnancy (ZIP); Conditions: Zika Virus Disease (Disorder) Zika Virus Infectious Disease clinical research Zika Virus Infectious Disease Research', 'Zika Virus Infectious Disease Zika in Infants and Pregnancy (ZIP); Conditions: Zika Virus Disease (Disorder) Zika Virus Infectious Disease clinical research Zika Virus Infectious Disease Research', 'Zika Virus Infectious Disease Zika in Infants and Pregnancy (ZIP); Conditions: Zika Virus Disease (Disorder) Zika Virus Infectious Disease clinical research Zika Virus Infectious Disease Research']"
231,39,231_erythematosus_lupus_discoid_cutaneous,"['erythematosus', 'lupus', 'discoid', 'cutaneous', 'cle', 'tregs', 'polyclonal', 'necrobiosis', 'lipoidica', 'dle']","['Cutaneous Lupus Erythematosus Autologous Polyclonal Tregs for Lupus; Conditions: Lupus Erythematosus, Cutaneous, Lupus Erythematosus, Discoid, Lupus Erythematosus, Systemic Cutaneous Lupus Erythematosus clinical research Cutaneous Lupus Erythematosus Research', 'Cutaneous Lupus Erythematosus Autologous Polyclonal Tregs for Lupus; Conditions: Lupus Erythematosus, Cutaneous, Lupus Erythematosus, Discoid, Lupus Erythematosus, Systemic Cutaneous Lupus Erythematosus clinical research Cutaneous Lupus Erythematosus Research', 'Cutaneous Lupus Erythematosus Autologous Polyclonal Tregs for Lupus; Conditions: Lupus Erythematosus, Cutaneous, Lupus Erythematosus, Discoid, Lupus Erythematosus, Systemic Cutaneous Lupus Erythematosus clinical research Cutaneous Lupus Erythematosus Research']"
232,39,232_alloimmune_neonatal_thrombocytopenia_wiskott,"['alloimmune', 'neonatal', 'thrombocytopenia', 'wiskott', 'aldrich', 'intraventricular', 'fetal', 'platelet', 'predicting', 'neonates']","['Neonatal Thrombocytopenia Study on the Anti-HPA Antibodies Caused Neonatal Alloimmune Thrombocytopenia in Chinese Pregnant Women; Conditions: Neonatal Alloimmune Thrombocytopenia Neonatal Thrombocytopenia clinical research Neonatal Thrombocytopenia Research', 'Fetal And Neonatal Alloimmune Thrombocytopenia Neurodevelopmental Outcome After Fetal Neonatal AlloImmune Thrombocytopenia; Conditions: Fetal and Neonatal Alloimmune Thrombocytopenia, Long Term Adverse Effects, Neurodevelopmental Abnormality, Intravenous Immunoglobulin Adverse Reaction Fetal And Neonatal Alloimmune Thrombocytopenia clinical research Fetal And Neonatal Alloimmune Thrombocytopenia Research', 'Fetal And Neonatal Alloimmune Thrombocytopenia Neurodevelopmental Outcome After Fetal Neonatal AlloImmune Thrombocytopenia; Conditions: Fetal and Neonatal Alloimmune Thrombocytopenia, Long Term Adverse Effects, Neurodevelopmental Abnormality, Intravenous Immunoglobulin Adverse Reaction Fetal And Neonatal Alloimmune Thrombocytopenia clinical research Fetal And Neonatal Alloimmune Thrombocytopenia Research']"
233,39,233_hyperinsulinism_hypoglycemia_hyperinsulinemic_hypoplasminogenemia,"['hyperinsulinism', 'hypoglycemia', 'hyperinsulinemic', 'hypoplasminogenemia', 'sugars', 'congenital', 'dysglycemia', 'prediabetes', 'exendin', 'meta']","['Congenital Hyperinsulinism Compassionate Use of SOM230 for Hyperinsulinemic/Hypoglycemia; Conditions: Congenital Hyperinsulinism Congenital Hyperinsulinism clinical research Congenital Hyperinsulinism Research', 'Congenital Hyperinsulinism Sirolimus for the Treatment of Hyperinsulinism; Conditions: Hyperinsulinism Congenital Hyperinsulinism clinical research Congenital Hyperinsulinism Research', 'Congenital Hyperinsulinism Continuous Glucose Monitoring in Neonatal Hyperinsulinism; Conditions: Hyperinsulinism, Hypoglycemia Neonatal Congenital Hyperinsulinism clinical research Congenital Hyperinsulinism Research']"
234,39,234_hypokalemia_losing_potassium_remifentanil,"['hypokalemia', 'losing', 'potassium', 'remifentanil', 'dopamine', 'vitamin', 'hyperkalemia', 'decompensated', 'protein', 'dexmedetomidine']","['Hypokalemia The Effects of Potassium on Glucose Metabolism in African Americans; Conditions: Borderline Hypokalemia Hypokalemia clinical research Hypokalemia Research', 'Hypokalemia Safety of Continuous Potassium Chloride Infusion in Critical Care; Conditions: Hypokalemia, Arrhythmias, Cardiac Hypokalemia clinical research Hypokalemia Research', 'Hypokalemia Comparison of Enteral Versus Intravenous Potassium Supplementation; Conditions: Acute Hypokalemia Hypokalemia clinical research Hypokalemia Research']"
235,38,235_angelman_sapho_levodopa_15q,"['angelman', 'sapho', 'levodopa', '15q', 'idmet', 'rugonersen', 'wings', 'telomeric', '22q13', 'syndrome']","['Angelman Syndrome Characterization of Angelman Syndrome; Conditions: Angelman Syndrome Angelman Syndrome clinical research Angelman Syndrome Research', 'Angelman Syndrome Characterization of Angelman Syndrome; Conditions: Angelman Syndrome Angelman Syndrome clinical research Angelman Syndrome Research', 'Angelman Syndrome Characterization of Angelman Syndrome; Conditions: Angelman Syndrome Angelman Syndrome clinical research Angelman Syndrome Research']"
236,38,236_granulomatous_cgd_chronic_linked,"['granulomatous', 'cgd', 'chronic', 'linked', '18', 'gene', 'disease', 'autoinflammatory', 'immunodeficiency', '1995']","['Chronic Granulomatous Disease Gene Therapy for X-linked Chronic Granulomatous Disease (X-CGD); Conditions: X-Linked Chronic Granulomatous Disease Chronic Granulomatous Disease clinical research Chronic Granulomatous Disease Research', 'Chronic Granulomatous Disease Gene Therapy for X-linked Chronic Granulomatous Disease (X-CGD); Conditions: X-Linked Chronic Granulomatous Disease Chronic Granulomatous Disease clinical research Chronic Granulomatous Disease Research', 'Chronic Granulomatous Disease Gene Therapy for X-linked Chronic Granulomatous Disease (X-CGD); Conditions: X-Linked Chronic Granulomatous Disease Chronic Granulomatous Disease clinical research Chronic Granulomatous Disease Research']"
237,38,237_hilar_cholangiocarcinoma_chemo_unresectable,"['hilar', 'cholangiocarcinoma', 'chemo', 'unresectable', 'neoadjuvant', 'radiotherapy', 'multicenter', 'prospective', 'colangiocarcinoma', 'transplant']","['Hilar Cholangiocarcinoma Liver Transplant Combined With Neoadjuvant Chemo-radiotherapy in the Treatment of Unresectable Hilar Cholangiocarcinoma. A Prospective Multicenter Study.; Conditions: Unresectable Cholangiocarcinoma Hilar Cholangiocarcinoma clinical research Hilar Cholangiocarcinoma Research', 'Hilar Cholangiocarcinoma Liver Transplant Combined With Neoadjuvant Chemo-radiotherapy in the Treatment of Unresectable Hilar Cholangiocarcinoma. A Prospective Multicenter Study.; Conditions: Unresectable Cholangiocarcinoma Hilar Cholangiocarcinoma clinical research Hilar Cholangiocarcinoma Research', 'Hilar Cholangiocarcinoma Liver Transplant Combined With Neoadjuvant Chemo-radiotherapy in the Treatment of Unresectable Hilar Cholangiocarcinoma. A Prospective Multicenter Study.; Conditions: Unresectable Cholangiocarcinoma Hilar Cholangiocarcinoma clinical research Hilar Cholangiocarcinoma Research']"
238,38,238_mucosa_melanoma_mucosal_malignant,"['mucosa', 'melanoma', 'mucosal', 'malignant', 'acral', 'lentiginous', 'pathologic', 'cutaneous', 'ipilimumab', 'metastatic']","['Malignant Melanoma Of The Mucosa Time-of-Day Specified Ipilimumab and Nivolumab for the Treatment of Stage IV Unresectable Melanoma, The TIME Trial; Conditions: Advanced Acral Melanoma, Advanced Cutaneous Melanoma, Advanced Mucosal Melanoma, Clinical Stage IV Cutaneous Melanoma AJCC v8, Metastatic Acral Melanoma, Metastatic Cutaneous Melanoma, Metastatic Mucosal Melanoma, Unresectable Acral Melanoma, Unresectable Cutaneous Melanoma, Unresectable Mucosal Melanoma Malignant Melanoma Of The Mucosa clinical research Malignant Melanoma Of The Mucosa Research', 'Malignant Melanoma Of The Mucosa Bevacizumab Combined With Carboplatin Plus Paclitaxel Chemotherapy to Treat Metastatic Mucosal Melanoma; Conditions: Melanoma Malignant Melanoma Of The Mucosa clinical research Malignant Melanoma Of The Mucosa Research', 'Malignant Melanoma Of The Mucosa Phase II Study in the Treatment of Patients With Advanced Mucinous Melanoma; Conditions: Advanced Mucosal Melanoma Malignant Melanoma Of The Mucosa clinical research Malignant Melanoma Of The Mucosa Research']"
239,38,239_whipple_pancreaticoduodenectomy_emptying_eras,"['whipple', 'pancreaticoduodenectomy', 'emptying', 'eras', 'periampullary', 'pancreatic', 'procedure', 'pancreatoduodenectomy', 'pancreaticojejunostomy', 'gastroparesis']","['Whipple Disease Preoperative Stent Study; Conditions: Pancreas Cancer Whipple Disease clinical research Whipple Disease Research', 'Whipple Disease Registry Study - Whipple at the Splenic Artery; Conditions: Pancreas Cancer Whipple Disease clinical research Whipple Disease Research', 'Whipple Disease Whipple Protein Study; Conditions: Pancreatic Cancer, Malnutrition Whipple Disease clinical research Whipple Disease Research']"
240,38,240_lymphoma_zone_marginal_follicular,"['lymphoma', 'zone', 'marginal', 'follicular', 'grade', 'adult', 'large', 'extranodal', 'hepatosplenic', 'burkitt']","['Diffuse Large B-Cell Lymphoma Of The Central Nervous System Genetic Testing Plus Irinotecan in Treating Patients With Solid Tumors or Lymphoma; Conditions: AIDS-related Peripheral/Systemic Lymphoma, AIDS-related Primary CNS Lymphoma, Anaplastic Large Cell Lymphoma, Angioimmunoblastic T-cell Lymphoma, Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue, Intraocular Lymphoma, Nodal Marginal Zone B-cell Lymphoma, Primary Central Nervous System Non-Hodgkin Lymphoma, Recurrent Adult Burkitt Lymphoma, Recurrent Adult Diffuse Large Cell Lymphoma, Recurrent Adult Diffuse Mixed Cell Lymphoma, Recurrent Adult Diffuse Small Cleaved Cell Lymphoma, Recurrent Adult Hodgkin Lymphoma, Recurrent Adult Immunoblastic Large Cell Lymphoma, Recurrent Adult Lymphoblastic Lymphoma, Recurrent Adult T-cell Leukemia/Lymphoma, Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma, Recurrent Grade 1 Follicular Lymphoma, Recurrent Grade 2 Follicular Lymphoma, Recurrent Grade 3 Follicular Lymphoma, Recurrent Mantle Cell Lymphoma, Recurrent Marginal Zone Lymphoma, Recurrent Mycosis Fungoides/Sezary Syndrome, Recurrent Small Lymphocytic Lymphoma, Small Intestine Lymphoma, Splenic Marginal Zone Lymphoma, Stage III Adult Burkitt Lymphoma, Stage III Adult Diffuse Large Cell Lymphoma, Stage III Adult Diffuse Mixed Cell Lymphoma, Stage III Adult Diffuse Small Cleaved Cell Lymphoma, Stage III Adult Hodgkin Lymphoma, Stage III Adult Immunoblastic Large Cell Lymphoma, Stage III Adult Lymphoblastic Lymphoma, Stage III Adult T-cell Leukemia/Lymphoma, Stage III Cutaneous T-cell Non-Hodgkin Lymphoma, Stage III Grade 1 Follicular Lymphoma, Stage III Grade 2 Follicular Lymphoma, Stage III Grade 3 Follicular Lymphoma, Stage III Mantle Cell Lymphoma, Stage III Marginal Zone Lymphoma, Stage III Mycosis Fungoides/Sezary Syndrome, Stage III Small Lymphocytic Lymphoma, Stage IV Adult Burkitt Lymphoma, Stage IV Adult Diffuse Large Cell Lymphoma, Stage IV Adult Diffuse Mixed Cell Lymphoma, Stage IV Adult Diffuse Small Cleaved Cell Lymphoma, Stage IV Adult Hodgkin Lymphoma, Stage IV Adult Immunoblastic Large Cell Lymphoma, Stage IV Adult Lymphoblastic Lymphoma, Stage IV Adult T-cell Leukemia/Lymphoma, Stage IV Cutaneous T-cell Non-Hodgkin Lymphoma, Stage IV Grade 1 Follicular Lymphoma, Stage IV Grade 2 Follicular Lymphoma, Stage IV Grade 3 Follicular Lymphoma, Stage IV Mantle Cell Lymphoma, Stage IV Marginal Zone Lymphoma, Stage IV Mycosis Fungoides/Sezary Syndrome, Stage IV Small Lymphocytic Lymphoma, Unspecified Adult Solid Tumor, Protocol Specific Diffuse Large B-Cell Lymphoma Of The Central Nervous System clinical research Diffuse Large B-Cell Lymphoma Of The Central Nervous System Research', 'Eye Lymphoma PXD101 and Bortezomib in Treating Patients With Advanced Solid Tumors or Lymphomas; Conditions: Adult Grade III Lymphomatoid Granulomatosis, Anaplastic Large Cell Lymphoma, Angioimmunoblastic T-cell Lymphoma, Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue, Intraocular Lymphoma, Nodal Marginal Zone B-cell Lymphoma, Post-transplant Lymphoproliferative Disorder, Primary Central Nervous System Hodgkin Lymphoma, Primary Central Nervous System Non-Hodgkin Lymphoma, Recurrent Adult Burkitt Lymphoma, Recurrent Adult Diffuse Large Cell Lymphoma, Recurrent Adult Diffuse Mixed Cell Lymphoma, Recurrent Adult Diffuse Small Cleaved Cell Lymphoma, Recurrent Adult Grade III Lymphomatoid Granulomatosis, Recurrent Adult Hodgkin Lymphoma, Recurrent Adult Immunoblastic Large Cell Lymphoma, Recurrent Adult Lymphoblastic Lymphoma, Recurrent Adult T-cell Leukemia/Lymphoma, Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma, Recurrent Grade 1 Follicular Lymphoma, Recurrent Grade 2 Follicular Lymphoma, Recurrent Grade 3 Follicular Lymphoma, Recurrent Mantle Cell Lymphoma, Recurrent Marginal Zone Lymphoma, Recurrent Mycosis Fungoides/Sezary Syndrome, Recurrent Small Lymphocytic Lymphoma, Splenic Marginal Zone Lymphoma, Stage III Adult Burkitt Lymphoma, Stage III Adult Diffuse Large Cell Lymphoma, Stage III Adult Diffuse Mixed Cell Lymphoma, Stage III Adult Diffuse Small Cleaved Cell Lymphoma, Stage III Adult Hodgkin Lymphoma, Stage III Adult Immunoblastic Large Cell Lymphoma, Stage III Adult Lymphoblastic Lymphoma, Stage III Adult T-cell Leukemia/Lymphoma, Stage III Cutaneous T-cell Non-Hodgkin Lymphoma, Stage III Grade 1 Follicular Lymphoma, Stage III Grade 2 Follicular Lymphoma, Stage III Grade 3 Follicular Lymphoma, Stage III Mantle Cell Lymphoma, Stage III Marginal Zone Lymphoma, Stage III Mycosis Fungoides/Sezary Syndrome, Stage III Small Lymphocytic Lymphoma, Stage IV Adult Burkitt Lymphoma, Stage IV Adult Diffuse Large Cell Lymphoma, Stage IV Adult Diffuse Mixed Cell Lymphoma, Stage IV Adult Diffuse Small Cleaved Cell Lymphoma, Stage IV Adult Hodgkin Lymphoma, Stage IV Adult Immunoblastic Large Cell Lymphoma, Stage IV Adult Lymphoblastic Lymphoma, Stage IV Adult T-cell Leukemia/Lymphoma, Stage IV Cutaneous T-cell Non-Hodgkin Lymphoma, Stage IV Grade 1 Follicular Lymphoma, Stage IV Grade 2 Follicular Lymphoma, Stage IV Grade 3 Follicular Lymphoma, Stage IV Mantle Cell Lymphoma, Stage IV Marginal Zone Lymphoma, Stage IV Mycosis Fungoides/Sezary Syndrome, Stage IV Small Lymphocytic Lymphoma, Unspecified Adult Solid Tumor, Protocol Specific, Waldenström Macroglobulinemia Eye Lymphoma clinical research Eye Lymphoma Research', 'Anaplastic Large Cell Lymphoma AR-42 in Treating Patients With Advanced or Relapsed Multiple Myeloma, Chronic Lymphocytic Leukemia, or Lymphoma; Conditions: Adult Nasal Type Extranodal NK/T-cell Lymphoma, Anaplastic Large Cell Lymphoma, Angioimmunoblastic T-cell Lymphoma, Cutaneous B-cell Non-Hodgkin Lymphoma, Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue, Hepatosplenic T-cell Lymphoma, Intraocular Lymphoma, Nodal Marginal Zone B-cell Lymphoma, Peripheral T-cell Lymphoma, Post-transplant Lymphoproliferative Disorder, Prolymphocytic Leukemia, Recurrent Adult Burkitt Lymphoma, Recurrent Adult Diffuse Large Cell Lymphoma, Recurrent Adult Diffuse Mixed Cell Lymphoma, Recurrent Adult Diffuse Small Cleaved Cell Lymphoma, Recurrent Adult Grade III Lymphomatoid Granulomatosis, Recurrent Adult Hodgkin Lymphoma, Recurrent Adult Immunoblastic Large Cell Lymphoma, Recurrent Adult Lymphoblastic Lymphoma, Recurrent Adult T-cell Leukemia/Lymphoma, Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma, Recurrent Grade 1 Follicular Lymphoma, Recurrent Grade 2 Follicular Lymphoma, Recurrent Grade 3 Follicular Lymphoma, Recurrent Mantle Cell Lymphoma, Recurrent Marginal Zone Lymphoma, Recurrent Mycosis Fungoides/Sezary Syndrome, Recurrent Small Lymphocytic Lymphoma, Refractory Chronic Lymphocytic Leukemia, Refractory Multiple Myeloma, Stage III Adult Burkitt Lymphoma, Stage III Adult Diffuse Large Cell Lymphoma, Stage III Adult Diffuse Mixed Cell Lymphoma, Stage III Adult Diffuse Small Cleaved Cell Lymphoma, Stage III Adult Hodgkin Lymphoma, Stage III Adult Immunoblastic Large Cell Lymphoma, Stage III Adult Lymphoblastic Lymphoma, Stage III Adult T-cell Leukemia/Lymphoma, Stage III Chronic Lymphocytic Leukemia, Stage III Cutaneous T-cell Non-Hodgkin Lymphoma, Stage III Grade 1 Follicular Lymphoma, Stage III Grade 2 Follicular Lymphoma, Stage III Grade 3 Follicular Lymphoma, Stage III Mantle Cell Lymphoma, Stage III Marginal Zone Lymphoma, Stage III Multiple Myeloma, Stage III Mycosis Fungoides/Sezary Syndrome, Stage III Small Lymphocytic Lymphoma, Stage IV Adult Burkitt Lymphoma, Stage IV Adult Diffuse Large Cell Lymphoma, Stage IV Adult Diffuse Mixed Cell Lymphoma, Stage IV Adult Diffuse Small Cleaved Cell Lymphoma, Stage IV Adult Hodgkin Lymphoma, Stage IV Adult Immunoblastic Large Cell Lymphoma, Stage IV Adult Lymphoblastic Lymphoma, Stage IV Adult T-cell Leukemia/Lymphoma, Stage IV Chronic Lymphocytic Leukemia, Stage IV Cutaneous T-cell Non-Hodgkin Lymphoma, Stage IV Grade 1 Follicular Lymphoma, Stage IV Grade 2 Follicular Lymphoma, Stage IV Grade 3 Follicular Lymphoma, Stage IV Mantle Cell Lymphoma, Stage IV Marginal Zone Lymphoma, Stage IV Mycosis Fungoides/Sezary Syndrome, Stage IV Small Lymphocytic Lymphoma, Testicular Lymphoma, Waldenstrom Macroglobulinemia Anaplastic Large Cell Lymphoma clinical research Anaplastic Large Cell Lymphoma Research']"
241,38,241_livedoid_vasculopathy_raynaud_phenomenon,"['livedoid', 'vasculopathy', 'raynaud', 'phenomenon', 'secondary', 'pde', 'channel', 'mqx', 'livedo', 'inhibitor']","[""Livedoid Vasculopathy Study of a Topical Formulation for the Treatment and Prevention of Raynaud's Phenomenon Symptoms; Conditions: Raynaud Disease Livedoid Vasculopathy clinical research Livedoid Vasculopathy Research"", ""Livedoid Vasculopathy Application for Monitoring and Evaluation of Raynaud's Phenomenon; Conditions: Raynaud Phenomenon Livedoid Vasculopathy clinical research Livedoid Vasculopathy Research"", ""Livedoid Vasculopathy Study of Acute Peripheral Vascular Effects, Safety and Tolerability in Subjects With Raynaud's Phenomenon Secondary to Systemic Sclerosis; Conditions: Raynaud's Phenomenon Secondary to Systemic Sclerosis Livedoid Vasculopathy clinical research Livedoid Vasculopathy Research""]"
242,38,242_q22_maturation_myeloblastic_myeloid,"['q22', 'maturation', 'myeloblastic', 'myeloid', '16', 'p13', 'basophilic', 'leukemia', 'adult', 'erythroid']","['Acute Basophilic Leukemia Flavopiridol in Treating Patients With Relapsed or Refractory Acute Myeloid Leukemia, Acute Lymphoblastic Leukemia, or Chronic Myelogenous Leukemia; Conditions: Adult Acute Basophilic Leukemia, Adult Acute Eosinophilic Leukemia, Adult Acute Megakaryoblastic Leukemia (M7), Adult Acute Minimally Differentiated Myeloid Leukemia (M0), Adult Acute Monoblastic Leukemia (M5a), Adult Acute Monocytic Leukemia (M5b), Adult Acute Myeloblastic Leukemia With Maturation (M2), Adult Acute Myeloblastic Leukemia Without Maturation (M1), Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities, Adult Acute Myeloid Leukemia With Inv(16)(p13;q22), Adult Acute Myeloid Leukemia With t(16;16)(p13;q22), Adult Acute Myeloid Leukemia With t(8;21)(q22;q22), Adult Acute Myelomonocytic Leukemia (M4), Adult Erythroleukemia (M6a), Adult Pure Erythroid Leukemia (M6b), Blastic Phase Chronic Myelogenous Leukemia, Recurrent Adult Acute Lymphoblastic Leukemia, Recurrent Adult Acute Myeloid Leukemia, Relapsing Chronic Myelogenous Leukemia Acute Basophilic Leukemia clinical research Acute Basophilic Leukemia Research', 'Acute Basophilic Leukemia Alvocidib, Cytarabine, and Mitoxantrone in Treating Patients With Newly Diagnosed Acute Myeloid Leukemia; Conditions: Adult Acute Basophilic Leukemia, Adult Acute Eosinophilic Leukemia, Adult Acute Megakaryoblastic Leukemia (M7), Adult Acute Minimally Differentiated Myeloid Leukemia (M0), Adult Acute Monoblastic Leukemia (M5a), Adult Acute Monocytic Leukemia (M5b), Adult Acute Myeloblastic Leukemia With Maturation (M2), Adult Acute Myeloblastic Leukemia Without Maturation (M1), Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities, Adult Acute Myeloid Leukemia With Inv(16)(p13;q22), Adult Acute Myeloid Leukemia With t(16;16)(p13;q22), Adult Acute Myeloid Leukemia With t(8;21)(q22;q22), Adult Acute Myelomonocytic Leukemia (M4), Adult Erythroleukemia (M6a), Adult Pure Erythroid Leukemia (M6b), Secondary Acute Myeloid Leukemia, Untreated Adult Acute Myeloid Leukemia Acute Basophilic Leukemia clinical research Acute Basophilic Leukemia Research', 'Acute Basophilic Leukemia Lenalidomide in Treating Older Patients With Acute Myeloid Leukemia; Conditions: Adult Acute Basophilic Leukemia, Adult Acute Eosinophilic Leukemia, Adult Acute Megakaryoblastic Leukemia (M7), Adult Acute Minimally Differentiated Myeloid Leukemia (M0), Adult Acute Monoblastic Leukemia (M5a), Adult Acute Monocytic Leukemia (M5b), Adult Acute Myeloblastic Leukemia With Maturation (M2), Adult Acute Myeloblastic Leukemia Without Maturation (M1), Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities, Adult Acute Myeloid Leukemia With Inv(16)(p13;q22), Adult Acute Myeloid Leukemia With t(16;16)(p13;q22), Adult Acute Myeloid Leukemia With t(8;21)(q22;q22), Adult Acute Myelomonocytic Leukemia (M4), Adult Erythroleukemia (M6a), Adult Pure Erythroid Leukemia (M6b), Secondary Acute Myeloid Leukemia, Untreated Adult Acute Myeloid Leukemia Acute Basophilic Leukemia clinical research Acute Basophilic Leukemia Research']"
243,38,243_testicular_germ_seminomatous_seminoma,"['testicular', 'germ', 'seminomatous', 'seminoma', 'testis', 'tumor', 'malignant', 'granulosa', 'embryonal', 'sgn']","['Malignant Testicular Germ Cell Tumor Short-term Testosterone Replacement in Testicular Cancer Survivors; Conditions: Testicular Cancer Malignant Testicular Germ Cell Tumor clinical research Malignant Testicular Germ Cell Tumor Research', 'Testicular Seminoma Imatinib Mesylate in Treating Patients With Progressive, Refractory, or Recurrent Stage II or Stage III Testicular or Ovarian Cancer; Conditions: Ovarian Dysgerminoma, Recurrent Malignant Testicular Germ Cell Tumor, Recurrent Ovarian Germ Cell Tumor, Stage II Malignant Testicular Germ Cell Tumor, Stage II Ovarian Germ Cell Tumor, Stage III Malignant Testicular Germ Cell Tumor, Stage III Ovarian Germ Cell Tumor, Testicular Seminoma Testicular Seminoma clinical research Testicular Seminoma Research', 'Malignant Testicular Germ Cell Tumor Everolimus for Patients With Relapsed/Refractory Germ Cell Cancer; Conditions: Testicular Cancer, Germ Cell Cancer Malignant Testicular Germ Cell Tumor clinical research Malignant Testicular Germ Cell Tumor Research']"
244,38,244_interstitial_pneumonia_fibrosis_covid,"['interstitial', 'pneumonia', 'fibrosis', 'covid', 'pneumonias', '19', 'fibrotic', 'desquamative', 'bronchitis', 'idiopathic']","['Acute Interstitial Pneumonia Molecular Diagnosis of Idiopathic Interstitial Pneumonias: a Prospective Study; Conditions: Idiopathic Interstitial Pneumonia, Idiopathic Pulmonary Fibrosis, Nonspecific Interstitial Pneumonia Acute Interstitial Pneumonia clinical research Acute Interstitial Pneumonia Research', 'Acute Interstitial Pneumonia Japanese Idiopathic Interstitial Pneumonias Registry; Conditions: Idiopathic Interstitial Pneumonia Acute Interstitial Pneumonia clinical research Acute Interstitial Pneumonia Research', 'Acute Interstitial Pneumonia Role of Genetics in Idiopathic Pulmonary Fibrosis (IPF); Conditions: Idiopathic Pulmonary Fibrosis, Familial Pulmonary Fibrosis, Idiopathic Interstitial Pneumonia, Familial Interstitial Pneumonia Acute Interstitial Pneumonia clinical research Acute Interstitial Pneumonia Research']"
